dates,ffr_surprise,nfp_surprise,EarningsToPrice
19910102,-1.272727273,0,0.0649125475285171
19910103,1.272727273,0,0.0649125475285171
19910104,7.636363636,74,0.0649125475285171
19910107,2.545454545,0,0.0649125475285171
19910108,-5.909090909,0,0.0649125475285171
19910109,-10.18181818,0,0.0649125475285171
19910110,-6.363636364,0,0.0649125475285171
19910111,-1.272727273,0,0.0649125475285171
19910114,-1.272727273,0,0.0649125475285171
19910115,-2.545454545,0,0.0649125475285171
19910116,5.090909091,0,0.0649125475285171
19910117,-3.818181818,0,0.0649125475285171
19910118,-6.363636364,0,0.0649125475285171
19910121,0,0,0.0649125475285171
19910122,-3.818181818,0,0.0649125475285171
19910123,-1.272727273,0,0.0649125475285171
19910124,0,0,0.0649125475285171
19910125,6.363636364,0,0.0649125475285171
19910128,3.818181818,0,0.0649125475285171
19910129,2.545454545,0,0.0649125475285171
19910130,-2.545454545,0,0.0649125475285171
19910131,-2.545454545,0,0.0649125475285171
19910201,-32.03030303,-232,0.0650812620971458
19910204,4.090909091,0,0.0650812620971458
19910205,3.224242424,0,0.0650812620971458
19910206,-0.933333333,0,0.0650812620971458
19910207,-0.551515152,0,0.0650812620971458
19910208,0,0,0.0650812620971458
19910211,-3,0,0.0650812620971458
19910212,-2,0,0.0650812620971458
19910213,-4,0,0.0650812620971458
19910214,1,0,0.0650812620971458
19910215,3,0,0.0650812620971458
19910219,4,0,0.0650812620971458
19910220,0,0,0.0650812620971458
19910221,0,0,0.0650812620971458
19910222,3,0,0.0650812620971458
19910225,-1,0,0.0650812620971458
19910226,2,0,0.0650812620971458
19910227,-1,0,0.0650812620971458
19910228,1,0,0.0650812620971458
19910301,3,0,0.0580431182023961
19910304,0,0,0.0580431182023961
19910305,-1,0,0.0580431182023961
19910306,2,0,0.0580431182023961
19910307,-2,0,0.0580431182023961
19910308,-13,-76,0.0580431182023961
19910311,-4,0,0.0580431182023961
19910312,2,0,0.0580431182023961
19910313,-1,0,0.0580431182023961
19910314,-5,0,0.0580431182023961
19910315,1,0,0.0580431182023961
19910318,2,0,0.0580431182023961
19910319,4,0,0.0580431182023961
19910320,0,0,0.0580431182023961
19910321,-1,0,0.0580431182023961
19910322,0,0,0.0580431182023961
19910325,-1,0,0.0580431182023961
19910326,0,0,0.0580431182023961
19910327,-2,0,0.0580431182023961
19910328,0,0,0.0580431182023961
19910401,1.352941176,0,0.0562479853873429
19910402,-4,0,0.0562479853873429
19910403,0,0,0.0562479853873429
19910404,-7,0,0.0562479853873429
19910405,-3,-61,0.0562479853873429
19910408,1,0,0.0562479853873429
19910409,0,0,0.0562479853873429
19910410,2,0,0.0562479853873429
19910411,-4,0,0.0562479853873429
19910412,-5,0,0.0562479853873429
19910415,1,0,0.0562479853873429
19910416,4,0,0.0562479853873429
19910417,-3,0,0.0562479853873429
19910418,10,0,0.0562479853873429
